(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 66, -2.1558418749388567e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 67, -0.0002983550325675581)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 68, -0.0022366839444443935)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 69, -0.0036952433969062036)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 70, -0.00021690658199459637)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 71, -0.006285581465340829)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 72, -0.0002747653440199242)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 73, -0.004882369766746221)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 74, -0.0026571776492296533)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 75, -0.01812725757870355)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 76, -0.0008977694820298136)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 77, -0.0003238271176375548)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 78, -0.005038271879310782)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 79, -3.993545525413622e-06)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 80, -0.001766643061293916)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 81, -0.001236879254281855)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 82, -5.820776209829785e-05)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 83, -0.0002204324535529647)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 84, -0.00027066538500551175)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 85, -0.0003085149545366873)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 86, -0.0007736627905913507)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 87, -0.006822121129356272)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 88, -0.004076142550444332)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 89, -0.0011293970781487697)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 90, -0.0006958529468488311)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 91, -0.003469882516388208)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 92, -0.00010430820787322061)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 93, -0.00019380456578055856)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 94, -0.001693992817719676)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 95, -0.0019020835035119153)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 96, -0.0044449104859938535)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 97, -0.0020010753460256952)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 98, -0.005565991674372436)
(gamma, lr, tau, seed,score) = (0.99, 0.0001, 0.001, 99, -0.0032856531501839455)
